"","i","v","f","one","two","T"
"2902",337,57760,10,"IJSS","INJSPSC","INT J SPORTS SCI"
"2903",1249,58672,2,"IJSS","INJSPSC","INT J SPORT SCI"
"2904",1548,58971,7,"IJSS","INJSPSO","INT J SPORT SOC"
"2905",3179,60602,4,"IJSS","INJSPST","INT J SPORT STUDIES"
"2906",3516,60939,1,"IJSS","ITJSPSC","ITALIAN J SPORT SCI"
"2907",5699,63122,1,"IJSS","ITJSPSC","ITAL J SPORT SCI"
"2908",59,57482,270,"IJSSC","INJSPSCCO","INT J SPORTS SCI COA"
"2909",669,58092,9,"IJSSC","INJSPSCCO","INT J SPORT SCI COAC"
"2910",4966,62389,2,"IJSSE","INJSPSCEN","INT J SPORTS SCI ENG"
"2911",6017,63440,2,"IJSSF","INJSPSCFI","INT J SPORT SCI FIT"
"2912",4649,62072,1,"IJSSS","INJSOSCST","INT J SOCIAL SCI STU"
"2913",2510,59933,6,"IJST","INJSCTE","INDIAN J SCI TECHNOL"
"2914",3540,60963,6,"IJSV","INJSPVI","INT J SPORTS VISION"
"2915",3837,61260,1,"IJTD","INJTRDE","INT J TRAIN DEV"
"2916",5928,63351,1,"IJTK","INJTRKN","INDIAN J TRADIT KNOW"
"2917",6175,63598,1,"IJTR","INJTHRE","INT J THER REHABIL"
"2918",3736,61159,4,"IJTR","INJTORE","INT J TOUR RES"
"2919",6298,63721,1,"IJTRP","INJTHREPR","INT J THEORY RES PRA"
"2920",943,58366,4,"IJTTS","INJTATES","INT J TABLE TENNIS S"
"2921",5589,63012,1,"IJUR","INJURRE","INT J URBAN REGIONAL"
"2922",2584,60007,1,"IJVIP","INJVIIMPR","INT J VIDEO IMAGE PR"
"2923",5081,62504,1,"IJVN","INJVONO","INT J VOLUNTARY NONP"
"2924",1170,58593,5,"IJVNR","INJVINURE","INT J VITAM NUTR RES"
"2925",1415,58838,2,"IJVR","INJVORE","INT J VOLLEYB RES"
"2926",3882,61305,4,"IJVR","INJVORE","INT J VOLLEYBALL RES"
"2927",5323,62746,1,"IJW","INJWI","INT J WILDERNESS"
"2928",3307,60730,1,"IJWH","INJWOHE","INT J WOMENS HEALTH"
"2929",6013,63436,1,"IJWS","INJWRSC","INT J WRESTLING SCI"
"2930",4547,61970,1,"IL","INLO","INFORMAL LOG"
"2931",1149,58572,2,"IL","IULI","IUBMB LIFE"
"2932",5713,63136,1,"ILE","INLEEN","INTERACT LEARN ENVIR"
"2933",2454,59877,2,"IM","INMA","INFORM MANAGE-AMSTER"
"2934",2013,59436,4,"IM","INMO","INTRINSIC MOTIVATION"
"2935",3055,60478,2,"IMAJ","ISMEASJ","ISR MED ASSOC J"
"2936",2970,60393,2,"IMAS","INMEAPSC","INTERV MED APPL SCI"
"2937",2694,60117,5,"IMC","IDMOCU","IDO MOV CULT"
"2938",3672,61095,2,"IMCJM","IDMOCUJMA","IDO MOV CULT J MARTI"
"2939",1226,58649,1,"IMJ","IRMEJ","IR MED J"
"2940",3931,61354,2,"IMJ","IRMEJ","IRISH MED J"
"2941",4084,61507,5,"IMM","INMAMA","IND MARKET MANAG"
"2942",740,58163,0,"IMS","INMUSC","INT MULTIDDISCIP SCI"
"2943",2795,60218,1,"IMSI","IOMASPIN","IOC MANUAL SPORTS IN"
"2944",3418,60841,2,"IMT","INMETE","INFORM MEDIA TECHNOL"
"2945",5290,62713,1,"IN","IDNU","IDENTIFYING NURTURIN"
"2946",1498,58921,62,"IO","INOR","INT ORTHOP"
"2947",4957,62380,1,"IOAAOTICP1IC","INOFAIANORTEINCOPR11INCO","INTEGRATION OF AI AND OR TECHNIQUES IN CONSTRAINT PROGRAMMING. 11TH INTERNATIONAL CONFERENCE"
"2948",5915,63338,3,"IOAVS","INOPANVISC","INVESTIGATIVE OPHTHALMOLOGY AND VISUAL SCIENCE"
"2949",5757,63180,1,"IOC","INOPCL","INT OPHTHALMOL CLIN"
"2950",3317,60740,9,"IOJ","IOORJ","IOWA ORTHOP J"
"2951",6236,63659,1,"IOL","INOLLI","INT OLYMPIC LIFTER"
"2952",6356,63779,1,"IOSPA","INORSPPHA","INV ORG SPORT PHYS A"
"2953",5850,63273,3,"IOVS","INOPVISC","INVEST OPHTH VIS SCI"
"2954",6637,64060,0,"IP","ICPR","ICERI PROC"
"2955",1699,59122,6,"IP","IFPA","IFAC PAPERSONLINE"
"2956",3504,60927,0,"IP","IFPR","IFMBE PROC"
"2957",6214,63637,1,"IP","IFPS","IFE PSYCHOL"
"2958",1274,58697,2,"IP","INPE","INDIAN PEDIATR"
"2959",5982,63405,1,"IP","INPE","INT PEDIATRICS"
"2960",1074,58497,40,"IP","INPR","INJURY PREV"
"2961",1810,59233,9,"IP","INPR","INJ PREV"
"2962",6447,63870,0,"IP","INPR","INTED PROC"
"2963",2629,60052,2,"IP","INPS","INT PSYCHOGERIATR"
"2964",4459,61882,1,"IP","INPS","INFORM PSIQUIATRICAS"
"2965",4593,62016,1,"IP","INPS","INTERACAO PSICOLOGIA"
"2966",5017,62440,2,"IPA","ISPAR","ISBS P ARCH"
"2967",1059,58482,2,"IPA","ISPRAR","ISBS PROC ARCH"
"2968",5219,62642,1,"IPIS","IEP-IMSI","IEE P-VIS IMAGE SIGN"
"2969",3057,60480,1,"IPN","INPRNU","INFORM PRACTICA NUTR"
"2970",4960,62383,1,"IPOTSIJCOAI","IJPROFTHSIINJOCOONARIN","IJCAI-99: PROCEEDINGS OF THE SIXTEENTH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE"
"2971",1886,59309,1,"IPS","ICPESD","ICH PER SD"
"2972",6827,64250,1,"IPS","INPRS4","INJ PREV S4"
"2973",216,57639,7,"IR","INRA","INVEST RADIOL"
"2974",6156,63579,2,"IR","INRE","IND RELAT"
"2975",3396,60819,1,"IRAE","INREAPEC","INT REV APPL EC"
"2976",5022,62445,1,"IRAJS","INREACJSP","INT REFER ACAD J SPO"
"2977",1369,58792,1,"IRAP","INREAPPS","INT REV APPL PSYCHOL"
"2978",3602,61025,1,"IRC","ICRECI","ICONOS REV CIENCIAS"
"2979",5,57428,52,"IRFTSOS","INREFOTHSOOFSP","INTERNATIONAL REVIEW FOR THE SOCIOLOGY OF SPORT"
"2980",3112,60535,2,"IRIOP","INREINORPS","INT REV IND ORGAN PS"
"2981",3759,61182,3,"IRIOP","INREINORPS","INT REV IND ORG PSYC"
"2982",5468,62891,1,"IRJBS","INREJBISC","INT RES J BIOL SCI"
"2983",3102,60525,1,"IRMM","INREMAM","INT REV MANAGEMENT M"
"2984",5009,62432,1,"IRN","INRENE","INT REV NEUROBIOL"
"2985",4335,61758,1,"IRSE","INRESPEX","INT REV SPORT EXERCP"
"2986",5800,63223,1,"IRSE","INRESPEX","INT REV SPORT EXERCI"
"2987",541,57964,63,"IRSEP","INRESPEXP","INT REV SPORT EXER P"
"2988",4165,61588,1,"IRSP","INRESOPS","INT REV SOC PSYCHOL"
"2989",1905,59328,2,"IRSR","INRESCRE","INT REGIONAL SCI REV"
"2990",464,57887,60,"IRSS","INRESOSP","INT REV SOCIOL SPORT"
"2991",5298,62721,2,"IRSS","INRESPSO","INT REV SPORT SOCIOL"
"2992",3035,60458,1,"IS","IMSE","IMPORTANCE SELECTION"
"2993",1377,58800,8,"IS","INSC","INFORM SCIENCES"
"2994",2934,60357,1,"IS","INSO","INFORM SOC"
"2995",3549,60972,1,"IS","INSO","INFORM SOCIALES"
"2996",5595,63018,1,"IS","INSO","INT SOCIOL"
"2997",2250,59673,1,"IS","ISST","ISRAEL STUDIES"
"2998",5811,63234,1,"IS","IZSA","IZVESTIYA SARATOVSKO"
"2999",4092,61515,1,"ISB","INSEBI","INT SERIES BIOMECHAN"
"3000",5268,62691,1,"ISC","INSCCL","INTERV SCH CLIN"
"3001",1696,59119,1,"ISCA","INSYCOAU","INTEL SYST CONTR AUT"
"3002",960,58383,23,"ISCJ","INSPCOJ","INT SPORT COACH J"
"3003",3855,61278,1,"ISJ","IBSYJ","IBM SYST J"
"3004",1162,58585,3,"ISJ","IESEJ","IEEE SENS J"
"3005",120,57543,24,"ISJ","INSPJ","INT SPORTMED J"
"3006",3169,60592,14,"ISJ","INSPJ","INT SPORTS J"
"3007",4546,61969,1,"ISJ","INSPJ","INT SPORT J"
"3008",5900,63323,1,"ISJ","INSYJ","INFORM SYST J"
"3009",1452,58875,2,"ISJK","INSCJKI","INT SCI J KINESIOLOG"
"3010",3860,61283,1,"ISLJ","INSPLAJ","INT SPORTS LAW J"
"3011",2871,60294,2,"ISORM","INSEOPREMA","INT SER OPER RES MAN"
"3012",5136,62559,1,"ISP","INSOPS","INTRO SOCIAL PSYCHOL"
"3013",298,57721,250,"ISP","INSPPH","INTJ SPORT PHYSIOL"
"3014",648,58071,4,"ISP","INSPPH","INQUIRIES SPORT PHYS"
"3015",2156,59579,1,"ISPL","IESIPRLE","IEEE SIGNAL PROC LET"
"3016",2707,60130,2,"ISPM","IESIPRMA","IEEE SIGNAL PROC MAG"
"3017",6732,64155,1,"ISRJ","INSTREJ","INDIAN STREAMS RES J"
"3018",1421,58844,1,"ISS","INSPST","INT SPORTS STUDIES"
"3019",5778,63201,0,"ISS","INSPST","INT SPORTS STUD"
"3020",5205,62628,1,"ISSS","INSESPSC","INT SERIES SPORT SCI"
"3021",6851,64274,2,"ISSS","INSESPSC","INT SERIES SPORTS SC"
"3022",6379,63802,1,"IT","IIT","IIE T"
"3023",4178,61601,3,"IT","IMTO","IMMUNOL TODAY"
"3024",339,57762,1,"IT","INTO","INNOVATIVES TORWARTT"
"3025",5121,62544,1,"ITAC","IETAUCO","IEEE T AUTOMAT CONTR"
"3026",2485,59908,1,"ITAES","IETAEELSY","IEEE T AERO ELEC SYS"
"3027",5336,62759,1,"ITAS","IETACSP","IEEE T ACOUST SPEECH"
"3028",1272,58695,30,"ITBE","IETBIEN","IEEE T BIO-MED ENG"
"3029",5920,63343,1,"ITBE","IETBIEN","IEEE T BIOMED ENG"
"3030",498,57921,3,"ITC","IETCY","IEEE T CYBERNETICS"
"3031",3946,61369,3,"ITCSV","IETCISYVI","IEEE T CIRC SYST VID"
"3032",2083,59506,1,"ITFS","IETFUSY","IEEE T FUZZY SYST"
"3033",169,57592,1,"ITG","IZTUG","IZVESTIIA TULSKOGO G"
"3034",2390,59813,1,"ITGG","INTGEGE","INTERD T GERONT GERI"
"3035",2157,59580,3,"ITIP","IETIMPR","IEEE T IMAGE PROCESS"
"3036",5075,62498,1,"ITIS","IETINSY","IEICE T INF SYST"
"3037",2245,59668,2,"ITIT","IETINTH","IEEE T INFORM THEORY"
"3038",3769,61192,1,"ITITB","IETINTEB","IEEE T INF TECHNOL B"
"3039",3717,61140,1,"ITJ","INTEJO","INFORMATION TECHNOLOGY JOURNAL"
"3040",5315,62738,1,"ITLT","IETLETE","IEEE T LEARN TECHNOL"
"3041",494,57917,6,"ITM","IETMU","IEEE T MULTIMEDIA"
"3042",769,58192,1,"ITM","IHTEMA","IHF TECHNICAL MAGAZI"
"3043",4236,61659,1,"ITMI","IETMEIM","IEEE T MED IMAGING"
"3044",6546,63969,1,"ITMT","IETMITH","IEEE T MICROW THEORY"
"3045",4239,61662,1,"ITNN","IETNENE","IEEE T NEURAL NETWOR"
"3046",5330,62753,3,"ITNNL","IETNENELE","IEEE T NEUR NET LEAR"
"3047",1702,59125,1,"ITNSR","IETNESYRE","IEEE T NEUR SYS REH"
"3048",1463,58886,7,"ITOR","INTOPRE","INT T OPER RES"
"3049",553,57976,19,"ITPA","IETPAAN","IEEE T PATTERN ANAL"
"3050",552,57975,5,"ITPAMI","IETRPAANMAIN","IEEE TRANS PATTERN ANAL MACH INTELL"
"3051",5690,63113,1,"ITPC","IETPRCO","IEEE T PROF COMMUN"
"3052",3571,60994,1,"ITRA","IETROAU","IEEE T ROBOTIC AUTOM"
"3053",6439,63862,1,"ITRE","IETREEN","IEEE T REHABIL ENG"
"3054",1638,59061,2,"ITRE","IETRREEN","IEEE TRANS REHABIL ENG"
"3055",2759,60182,2,"ITSMC","IETSYMACY","IEEE T SYST MAN CYB"
"3056",3721,61144,1,"ITSMC","IETSYMACY","IEEE T SYST MAN CY-S"
"3057",3948,61371,1,"ITSMCA","IETSYMACYA","IEEE T SYST MAN CY A"
"3058",4457,61880,4,"ITSMCC","IETSYMACYC","IEEE T SYST MAN CY C"
"3059",3322,60745,1,"ITT","INTATE","INTERJ TABLE TENNIS"
"3060",2744,60167,7,"ITVCG","IETVICOGR","IEEE T VIS COMPUT GR"
"3061",4641,62064,1,"IUBEIUBE","INUBEEGINUBEEG","INONU U BEDEN EGITIM INONU U BEDEN EGITIM"
"3062",595,58018,1,"IUEB","INUEGBI","INONU U EGITIM BILIM"
"3063",4503,61926,7,"IUJ","INURJ","INT UROGYNECOL J"
"3064",4497,61920,8,"IUJP","INURJPE","INT UROGYNECOL J PEL"
"3065",5461,62884,1,"IUJPFD","INURJPEFLDY","INT UROGYNECOL J PELVIC FLOOR DYSFUNCT"
"3066",2231,59654,3,"IVC","IMVICO","IMAGE VISION COMPUT"
"3067",2911,60334,12,"IVCD","INVICEDE","IN VITRO CELL DEV-AN"
"3068",4989,62412,1,"IVT","INVOTE","INT VOLLEY TECH"
"3069",3943,61366,1,"IWOCAOIAVL","IEWOONCOACOFIMANVILI","IEEE WORKSHOP ON CONTENT-BASED ACCESS OF IMAGE AND VIDEO LIBRARIES"
"3070",5214,62637,1,"IWOMAVC(2","IEWOONMOANVICO(M20","IEEE WORKSHOP ON MOTION AND VIDEO COMPUTING (MOTION 2002)"
"3071",5274,62697,1,"IZAP","INZANPH","INT Z ANGEW PHYSIOL"
"3072",663,58086,1,"J","JA","JAMA"
"3073",2462,59885,1,"J","JA","JAMC"
"3074",4581,62004,1,"J","JB","JBR-BTR"
"3075",6160,63583,1,"J","JE","JEPONLINE"
"3076",2799,60222,1,"J","JO","JOINTS"
"3077",5841,63264,1,"JA","JAA","J AAPOS"
"3078",6056,63479,2,"JA","JAC","J ACM"
"3079",3251,60674,9,"JA","JAD","J ADOLESCENCE"
"3080",5587,63010,2,"JA","JAD","J ADVERTISING"
"3081",262,57685,16,"JA","JAN","J ANAT"
"3082",5513,62936,1,"JA","JAN","J ANDROL"
"3083",3341,60764,1,"JA","JAR","J ARRYTHM"
"3084",5565,62988,18,"JA","JAR","J ARTHROPLASTY"
"3085",5807,63230,1,"JA","JAS","J ASTHMA"
"3086",6740,64163,1,"JA","JMAG","JMIR AGING"
"3087",2478,59901,3,"JAACP","JAMACCHPS","J AM ACAD CHILD PSY"
"3088",2834,60257,14,"JAAD","JAMACDE","J AM ACAD DERMATOL"
"3089",310,57733,112,"JAAOS","JAMACORSU","J AM ACAD ORTHOP SURG"
"3090",443,57866,58,"JAAOS","JAMACORSU","J AM ACAD ORTHOP SUR"
"3091",351,57774,496,"JAB","JAPBI","J APPL BIOMECH"
"3092",5367,62790,1,"JAB","JAPBI","J APP BIOMECH"
"3093",5432,62855,1,"JAB","JAPBI","J APPL BIOMECHANICS"
"3094",941,58364,14,"JABA","JAPBEAN","J APPL BEHAV ANAL"
"3095",5402,62825,5,"JABFP","JAMBOFAPR","J AM BOARD FAM PRACT"
"3096",1073,58496,3,"JABS","JAPBESC","J APPL BEHAV SCI"
"3097",2709,60132,2,"JACA","JAMCHAS","J AM CHIROPR ASS"
"3098",876,58299,52,"JACC","JAMCOCA","J AM COLL CARDIOL"
"3099",2896,60319,2,"JACD","JAMCODE","J AM COLL DENT"
"3100",786,58209,10,"JACH","JAMCOHE","J AM COLL HEALTH"
"3101",5979,63402,1,"JACHA","JAMCOHEA","J AMER COLL HEALTH A"
"3102",4572,61995,1,"JACHA","JAMCOHEAS","J AM COLL HEALTH ASS"
"3103",6378,63801,1,"JACI","JADCOIN","J ADV COMPUT INTELL"
"3104",4725,62148,5,"JACI","JALCLIM","J ALLERGY CLIN IMMUN"
"3105",2131,59554,5,"JACM","JALCOME","J ALTERN COMPLEM MED"
"3106",2562,59985,12,"JACN","JAMCONU","J AM COLL NUTR"
"3107",3846,61269,5,"JACP","JABCHPS","J ABNORM CHILD PSYCH"
"3108",6499,63922,1,"JACS","JAMCHSO","J AM CHEM SOC"
"3109",5016,62439,1,"JACS","JAPCAST","J APPL CASE STUDIES"
"3110",2061,59484,1,"JAD","JADDE","J ADULT DEV"
"3111",6005,63428,2,"JAD","JADDI","J ADDICT DIS"
"3112",4031,61454,6,"JAD","JAFDI","J AFFECT DISORDERS"
"3113",3266,60689,2,"JAD","JALDI","J ALZHEIMERS DIS"
"3114",3940,61363,1,"JAD","JANDI","J ANXIETY DISORD"
"3115",5148,62571,2,"JAD","JATDI","J ATTEN DISORD"
"3116",180,57603,48,"JADA","JAMDEAS","J AM DENT ASSOC"
"3117",116,57539,32,"JADA","JAMDIAS","J AM DIET ASSOC"
"3118",4617,62040,10,"JADD","JAUDEDI","J AUTISM DEV DISORD"
"3119",5548,62971,1,"JADE","JALDRED","J ALCOHOL DRUG EDUC"
"3120",3847,61270,6,"JADP","JAPDEPS","J APPL DEV PSYCHOL"
"3121",6171,63594,1,"JADR","JADDERE","J ADV DEV RES"
"3122",3683,61106,1,"JAE","JAFEC","J AFR ECON"
"3123",1424,58847,2,"JAE","JAPEC","J APPL EC"
"3124",1781,59204,2,"JAE","JATEN","J ATHL ENH"
"3125",2269,59692,1,"JAE","JATEN","J ATHLETIC ENHANCEME"
"3126",3673,61096,2,"JAE","JATEN","J ATHL ENHANC"
"3127",5325,62748,1,"JAEM","JACEMME","J ACCID EMERG MED"
"3128",2567,59990,17,"JAFC","JAGFOCH","J AGR FOOD CHEM"
"3129",1656,59079,12,"JAGS","JAMGESO","J AM GERIATR SOC"
"3130",1514,58937,31,"JAH","JADHE","J ADOLESCENT HEALTH"
"3131",493,57916,4,"JAIHC","JAMINHUCO","J AMB INTEL HUM COMP"
"3132",5553,62976,1,"JAIR","JARINRE","J ARTIF INTELL RES"
"3133",6174,63597,1,"JALM","JAPLAME","J APPL LAB MED"
"3134",4876,62299,2,"JAM","JADME","J ADDICT MED"
"3135",818,58241,139,"JAMA","JAAMMEAS","JAMA-J AM MED ASSOC"
"3136",1108,58531,14,"JAMA","JAMMEAS","J AMER MED ASSOC"
"3137",1161,58584,1,"JAMDS","JADMEDESY","J ADV MECH DES SYST"
"3138",4697,62120,1,"JAMM","JAPMAME","J APPL MATH MECH"
"3139",4044,61467,7,"JAMS","JACMASC","J ACAD MARKET SCI"
"3140",358,57781,6,"JAN","JADNU","J ADV NURS"
"3141",3103,60526,4,"JAND","JACNUDI","J ACAD NUTR DIET"
"3142",5210,62633,2,"JANS","JAUNESY","J AUTONOM NERV SYST"
"3143",2202,59625,10,"JAOA","JAMOPAS","J AM OPTOM ASSOC"
"3144",4782,62205,1,"JAOS","J.APORSC","J. APPL. ORAL SCI."
"3145",5484,62907,2,"JAOS","JAPORSC","J APPL ORAL SCI"
"3146",3189,60612,3,"JAP","JABPS","J ABNORM PSYCHOL"
"3147",96,57519,644,"JAP","JAPPH","J APPL PHYSIOL"
"3148",694,58117,98,"JAP","JAPPS","J APPL PSYCHOL"
"3149",3040,60463,17,"JAPA","JAGPHAC","J AGING PHYS ACTIV"
"3150",5874,63297,1,"JAPI","JASPHIN","J ASSOC PHYSICIANS INDIA"
"3151",1788,59211,18,"JAPMA","JAMPOMEAS","J AM PODIAT MED ASSN"
"3152",5977,63400,3,"JAPMR","JASPHMERE","J ASSOC PHYS MENT REHABIL"
"3153",2688,60111,1,"JAPNM","JAPPHNUME","J APPL PHYSL NUTR ME"
"3154",3249,60672,1,"JAR","JACRE","J ACCOUNT RES"
"3155",3652,61075,2,"JAR","JADRE","J ADOLESCENT RES"
"3156",5590,63013,1,"JAR","JADRE","J ADVERTISING RES"
"3157",3784,61207,1,"JAR","JAGRE","J AGING RES"
"3158",1146,58569,2,"JARC","JAPRECO","J APPL RES COACHING"
"3159",2266,59689,1,"JARCE","JAPRECLEX","J APPL RES CLIN EXP"
"3160",3996,61419,2,"JARMC","JAPREMECO","J APPL RES MEM COGN"
"3161",6776,64199,1,"JARO","JAASREOT","JARO-J ASSOC RES OTO"
"3162",1824,59247,1,"JAS","JAFST","J AFRICAN STUDIES"
"3163",1064,58487,1,"JAS","JAGST","J AGING STUD"
"3164",6180,63603,1,"JAS","JAMSC","J AM SCI"
"3165",4201,61624,1,"JAS","JAMSP","J AMAT SPORT"
"3166",1147,58570,1,"JAS","JANSC","J ANTHROPOL SCI"
"3167",4485,61908,1,"JAS","JANSC","J ANIM SCI"
"3168",4410,61833,1,"JAS","JAPSP","J APPL SPORTPSYCHOLO"
"3169",1240,58663,7,"JAS","JAPST","J APPL STAT"
"3170",6023,63446,0,"JAS","JARSC","J ARCHAEOL SCI"
"3171",4680,62103,2,"JASA","JACSOAM","J ACOUST SOC AM"
"3172",1231,58654,33,"JASA","JAMSTAS","J AM STAT ASSOC"
"3173",1190,58613,4,"JASC","JAUSTCO","J AUSTR STRENGTH CON"
"3174",2036,59459,16,"JASC","JAUSTCO","J AUST STRENGTH COND"
"3175",4244,61667,6,"JASC","JAUSTCO","J AUS STRENGTH COND"
"3176",753,58176,19,"JASE","JAMSOEC","J AM SOC ECHOCARDIOG"
"3177",5974,63397,1,"JASE","JAMSOEC","J AM SOC ECHOCARDIOGR"
"3178",2407,59830,2,"JASH","JAMSOHY","J AM SOC HYPERTENS"
"3179",23,57446,1,"JASI","JANSOIN","J ANAT SOC INDIA"
"3180",4981,62404,3,"JASM","JAPSPMA","J APPL SPORT MANAG"
"3181",1805,59228,4,"JASM","JARSPME","J ARCH SPORT MED"
"3182",514,57937,1,"JASP","JABSOPS","J ABNORM SOC PSYCH"
"3183",898,58321,60,"JASP","JAPSOPS","J APPL SOC PSYCHOL"
"3184",156,57579,328,"JASP","JAPSPPS","J APPL SPORT PSYCHOL"
"3185",4409,61832,2,"JASP","JAPSPPS","J APPLIED SPORT PSYC"
"3186",1959,59382,4,"JASPE","JANSPPHE","J ANTHR SPORT PHYS E"
"3187",5526,62949,1,"JASR","JAPSPRE","J APPL SPORT RES"
"3188",962,58385,1,"JASS","JAPSPSC","J APPL SPORTS SCI"
"3189",369,57792,91,"JASSR","JAPSPSCRE","J APPL SPORT SCI RES"
"3190",6201,63624,1,"JASSR","JAPSPSCRE","J APPL SPORTS SCI RE"
"3191",3348,60771,1,"JASSS","JACSOSCST","J ACAD SOCIAL SCI ST"
"3192",4153,61576,1,"JAT","JANTO","J ANAL TOXICOL"
"3193",2981,60404,1,"JAT","JAPTH","J APPROX THEORY"
"3194",3763,61186,1,"JAT","JATTH","J ATHEROSCLER THROMB"
"3195",360,57783,1508,"JAT","JATTR","J ATHL TRAINING"
"3196",3407,60830,19,"JAT","JATTR","J ATHL TRAIN"
"3197",5938,63361,1,"JATS","JACTUSC","J ACUPUNCT TUINA SCI"
"3198",4603,62026,3,"JATS","JATTRS","J ATHL TRAIN S"
"3199",6743,64166,1,"JATS","JATTRS2","J ATHL TRAIN S2"
"3200",6209,63632,1,"JATT","JAPTETE","J APPL TESTING TECHN"
"3201",4802,62225,1,"JAVMA","JAAMVEMEA","JAVMA-J AM VET MED A"
"3202",4801,62224,6,"JAVMA","JAMVEMEAS","J AM VET MED ASSOC"
"3203",192,57615,1484,"JB","JBI","J BIOMECH"
"3204",3563,60986,1,"JB","JBI","J BIOMECHNAICS"
"3205",6003,63426,2,"JBA","JBEAD","J BEHAV ADDICT"
"3206",1893,59316,2,"JBASR","JBAAPSCRE","J BASIC APPL SCI RES"
"3207",834,58257,1,"JBB","JBIBI","J BIOENERG BIOMEMBR"
"3208",1154,58577,23,"JBC","JBICH","J BIOL CHEM"
"3209",1220,58643,1,"JBC","JBRCA","J BREAST CANCER"
"3210",5935,63358,1,"JBCR","JBUCARE","J BURN CARE RES"
"3211",2373,59796,10,"JBDM","JBEDEMA","J BEHAV DECIS MAKING"
"3212",6245,63668,1,"JBE","JBIEN","J BIOMED ENG"
"3213",6021,63444,1,"JBE","JBIEX","J BIOL EXERC"
"3214",5153,62576,1,"JBE","JBREL","J BROADCAST ELECTRON"
"3215",4440,61863,1,"JBE","JBUEC","J BUSINESS EC"
"3216",3235,60658,5,"JBE","JBUET","J BUS ETHICS"
"3217",3826,61249,2,"JBEA","JBAENAS","J BASIC ENG-T ASME"
"3218",3041,60464,197,"JBEA","JBIENAS","J BIOMECH ENG-T ASME"
"3219",5732,63155,1,"JBEE","JBEEXEC","J BEHAV EXP ECON"
"3220",1239,58662,1,"JBES","JBUECST","J BUS ECON STAT"
"3221",1843,59266,1,"JBHSR","JBEHESER","J BEHAV HEALTH SER R"
"3222",2137,59560,3,"JBI","JBIIN","J BIOMED INFORM"
"3223",5586,63009,2,"JBIM","JBUINMA","J BUS IND MARK"
"3224",449,57872,5,"JBJS","JBOJOSU","J BONE JOINT SURG"
"3225",207,57630,989,"JBJSA","JBOJOSUAM","J BONE JOINT SURG AM"
"3226",210,57633,111,"JBJSB","JBOJOSUBR","J BONE JOINT SURG BR"
"3227",1652,59075,1,"JBJSBB","JBOJOSUBBR","J BONE JOINT SURG B BRIT"
"3228",5087,62510,1,"JBJSS","JBOJOSUS2","J BONE JOINT SURG S2"
"3229",2999,60422,1,"JBLS","JBILASC","J BIOMED LAB SCI"
"3230",461,57884,55,"JBM","JBAMU","J BACK MUSCULOSKELET"
"3231",3761,61184,3,"JBM","JBEME","J BEHAV MED"
"3232",5679,63102,1,"JBM","JBRMA","J BRAND MANAG"
"3233",5592,63015,1,"JBM","JBUMA","J BUSINESS MARKETING"
"3234",2025,59448,10,"JBMM","JBOMIME","J BONE MINER METAB"
"3235",2519,59942,1,"JBMR","JBAMURE","J BACK MUSCULOSKELET REHABIL"
"3236",2024,59447,83,"JBMR","JBOMIRE","J BONE MINER RES"
"3237",2957,60380,2,"JBMS","JBAMESC","J BASIC MED SCI"
"3238",1657,59080,42,"JBMT","JBOMOTH","J BODYW MOV THER"
"3239",1685,59108,4,"JBP","JBUPS","J BUS PSYCHOL"
"3240",1937,59360,4,"JBR","JBIRH","J BIOL RHYTHM"
"3241",988,58411,17,"JBR","JBURE","J BUS RES"
"3242",3264,60687,2,"JBRHA","JBIREHOAG","J BIOL REG HOMEOS AG"
"3243",6326,63749,1,"JBS","JBASC","J BASIC SCI"
"3244",2171,59594,2,"JBS","JBISC","J BIOSOC SCI"
"3245",4196,61619,1,"JBS","JBIST","J BIOTECHNOL STRATEG"
"3246",5683,63106,1,"JBS","JBUST","J BUS STRAT"
"3247",799,58222,1,"JBS","JOBOSP","JOINT BONE SPIN"
"3248",803,58226,11,"JBS","JOBOSP","JOINT BONE SPINE"
"3249",5149,62572,1,"JBTEP","JBETHEXPS","J BEHAV THER EXP PSY"
"3250",4334,61757,1,"JBUMS","JBIUMESC","J BIRJAND U MED SCI"
"3251",2990,60413,1,"JBUPE","JBEUPHED","J BEIJING U PHYS ED"
"3252",3620,61043,5,"JC","JACA","JAMA CARDIOL"
"3253",1749,59172,4,"JC","JCA","J CARDIOL"
"3254",3794,61217,3,"JC","JCL","J CLASSIF"
"3255",1693,59116,2,"JC","JCO","J COMPUTING"
"3256",4859,62282,7,"JC","JCO","J COMMUN"
"3257",5865,63288,1,"JC","JCO","J COMMERCE"
"3258",5374,62797,1,"JCA","JCLAN","J CLIN ANESTH"
"3259",1012,58435,2,"JCA","JCOAT","J CONT ATHLETICS"
"3260",6437,63860,1,"JCAPN","JCHADPSNU","J CHILD ADOL PS NURS"
"3261",3135,60558,0,"JCAR","JCAADRE","J CAFFEINE ADENO RES"
"3262",5314,62737,1,"JCAR","JCAASRA","J CAN ASSOC RADIOL"
"3263",4407,61830,1,"JCAT","JCOASTO","J COMPUT ASSIST TOMO"
